96432 71664
44528 79064 2
16697 79315 48
59041 84073 33
38006 82722 76
4969 76325 6
17936 41352 55
44744 64801 42
27737 95488 47
27409 68080 50
17201 71368 0
33632 65360 2
59400 93407 44
38315 72763 42
35438 77839 50
31693 56264 93
25042 94969 7
48704 93217 47
3461 63987 55
34993 80277 72
10977 53513 93
1345 38753 36
36541 62461 87
37148 78298 76
5184 60673 24
59006 83368 63
1377 74416 11
19386 71048 20
8272 61265 38
35617 63209 97
36993 93313 25
37534 71857 3
72202 96080 76
12025 81353 52
21313 71328 50
31363 85360 15
45766 76303 25
41650 81441 96
62584 91223 30
28054 95264 60
4128 68488 29
2437 59809 55
43745 81673 21
25333 82808 35
54694 89709 79
39792 80847 10
13179 94729 31
27296 91216 47
9618 79051 77
465 35147 62
10913 86979 76
47785 79108 17
4401 92565 25
4609 71720 23
7745 89941 37
57584 86852 24
10643 66823 50
10895 52040 65
61160 86032 32
5524 92338 77
8876 51875 73
44773 93040 68
2083 94333 0
22341 76064 68
47464 73375 23
1393 86566 83
23052 74353 10
35464 67620 34
35657 88561 76
36892 58060 55
35204 72404 58
5696 48037 56
40333 85652 93
57112 77477 21
3492 47280 92
50649 73582 17
18328 86523 54
46730 68731 92
29021 74624 24
42144 69013 70
9572 80441 42
8682 73212 92
20040 50417 95
14744 93025 12
20316 64192 19
1329 48408 25
11417 53800 55
48504 73283 74
61908 92725 11
35156 86532 48
5861 45089 46
40405 68585 3
39376 95252 28
19169 80512 13
19620 71260 60
36109 73351 92
9037 81809 68
16026 60247 57
14452 88816 8
31165 83295 19
33994 89541 8
1344 71017 86
34227 80408 64
4823 56065 24
45880 83336 88
25821 59408 16
25408 77504 38
32753 90456 43
34496 73985 64
33680 82385 71
12905 87439 16
3117 61960 4
30110 59472 97
56064 90696 75
5029 28533 96
3812 54561 23
57512 87409 69
24950 65904 37
24951 49989 69
2341 71723 49
15004 61312 31
104 92316 99
11667 62641 42
60529 91229 49
38659 68817 35
37519 59392 23
7519 65376 61
28478 49322 99
34837 63681 16
11072 48214 7
23001 47848 4
10345 63361 38
22575 95882 33
4910 55504 90
32515 52689 91
46880 73380 36
10941 44208 86
4033 64816 96
4997 81776 62
14245 89250 64
18336 92545 65
10716 50928 43
5616 50097 58
13778 92432 2
37771 88955 26
1148 87484 98
8267 53394 8
45582 94616 84
8444 39472 71
8 32596 66
27952 90628 9
53124 87937 93
30519 74021 39
27764 83325 87
31992 52271 39
41884 68146 62
28768 64272 64
47025 70513 62
25316 86993 71
8536 42432 28
12893 60220 46
23000 82954 27
24061 74592 18
1253 67184 99
31176 52481 72
26973 86483 2
21512 68528 84
33638 55891 72
2577 37641 10
39541 62044 89
29466 52869 22
25489 58193 65
219 38513 82
7350 55500 72
6316 78000 53
33038 87971 64
8241 80648 100
59265 95825 16
13313 76720 48
2069 91441 87
27129 52985 59
52300 85152 76
52851 82017 90
58977 79568 77
9256 38192 49
20664 43429 72
23788 58192 79
9400 34817 14
13569 46708 6
43153 83320 92
12628 35311 20
16433 86760 36
37729 76981 92
13790 56561 28
24688 55072 34
9961 48256 95
59312 89972 62
25756 48427 52
36904 73042 16
9562 82576 28
42746 87892 29
16585 69954 20
7680 45635 69
59030 79619 29
5073 63750 57
12785 94737 78
20009 63183 82
18685 92816 91
22097 65008 97
33513 95835 43
30969 54721 27
41340 92677 58
23041 64076 67
47805 86095 54
48457 89925 12
67833 92575 80
23491 48405 14
9248 40822 64
22977 50257 88
44313 89840 49
9728 65232 46
6270 73225 44
29473 51370 36
70620 95723 12
41277 64856 44
45912 86889 27
11907 50032 44
3105 55578 30
43068 66465 20
11730 55823 83
18723 40632 47
10765 65776 82
55746 83384 49
2941 31512 55
47065 76000 39
36902 81833 69
24297 58643 64
24236 89281 80
480 53472 52
37753 95414 25
6529 41361 50
5105 42464 94
22364 81120 84
44241 93239 67
16917 73713 54
65968 86010 25
49955 86617 54
71821 95929 68
12049 76080 42
44447 76139 26
27732 53759 77
20326 75640 15
23872 74273 92
17361 71809 24
56068 80117 78
14161 45915 62
11889 78577 5
55562 90864 100
29996 52852 21
4645 52608 64
38341 65169 23
13668 70997 96
2763 64691 51
7890 27899 33
20794 58638 9
25043 67660 65
45408 83548 15
28638 49996 90
16336 38966 56
32696 91841 83
1200 41521 40
10288 83552 96
15061 56027 65
67249 95995 44
45057 88984 91
35828 88990 68
46584 95009 56
10628 52592 11
6536 57865 49
20620 74229 49
19680 62476 35
43760 89644 41
2049 43944 86
10689 32624 5
33393 60677 26
69796 93585 61
33542 77433 55
12988 60320 72
4417 70193 38
755 91161 79
6329 33136 85
21951 92702 67
5833 92881 4
2100 77891 89
2324 84154 54
36988 62009 4
5281 54357 29
12240 36518 40
46224 79267 50
31473 94828 42
43468 67217 95
26779 71610 40
31248 57665 7
29172 72777 18
24713 90173 35
35401 58846 79
40857 95078 77
7876 28544 11
64127 96048 84
33151 66697 75
47683 79009 43
54381 93928 16
18441 57169 49
1201 40401 98
20643 63795 72
25857 83802 23
12756 86469 84
32139 63702 37
5424 73703 64
16630 88307 3
16628 67968 0
16874 92011 80
9786 48701 78
45088 82875 95
36574 60998 36
15525 92816 46
14177 86477 95
9008 29376 51
3995 89209 10
10536 80657 61
49693 96330 62
10497 91602 34
32803 66280 9
64948 90692 43
736 32003 84
6321 52220 58
17676 41232 60
2521 60347 3
15830 56368 52
44574 72660 69
47826 72848 90
55972 94841 80
23867 67342 55
3376 31889 23
4780 55190 21
2216 23975 49
9322 82674 15
14264 75252 33
43429 73670 19
35407 76482 76
55937 83484 50
1009 25959 67
12082 85690 48
28037 52480 0
3478 48033 57
26869 46880 58
12773 94136 15
33327 83135 8
4895 91569 95
27794 55256 15
12854 37340 63
15225 63361 27
56028 79037 75
17215 81011 56
12153 94759 89
49905 76820 44
19714 65532 33
25161 61072 94
24099 58119 86
49812 85002 89
81 93380 40
19009 85692 88
41552 85004 69
19033 78755 68
53482 74742 35
58113 95501 14
1856 85073 36
47203 86460 91
50612 76555 3
46955 95086 14
50170 84452 26
11089 78553 28
52006 92880 11
52599 74189 1
48803 74377 72
33324 71897 28
4686 52434 74
33576 60880 38
8112 42497 88
7313 94479 81
30241 94208 56
55168 85604 16
20723 59729 4
