983 948
578 794 14
135 976 58
790 935 11
549 879 77
97 388 61
388 503 44
168 837 38
247 839 79
168 713 12
204 848 86
530 643 99
245 586 26
247 426 87
265 448 11
650 962 69
580 665 20
213 319 26
542 966 7
25 473 73
283 733 95
208 239 43
568 910 67
384 921 75
244 492 79
601 930 7
61 224 59
437 730 72
95 127 18
294 869 24
616 840 93
718 732 63
627 632 49
52 520 27
198 350 92
402 546 33
234 823 14
584 740 97
20 953 16
655 683 74
391 725 10
396 888 79
266 914 48
580 739 1
293 803 50
421 567 47
246 870 72
275 575 6
128 578 37
465 624 51
115 438 77
524 947 41
479 692 49
512 725 13
239 873 33
449 709 82
322 498 58
389 608 72
435 857 80
699 768 0
547 649 85
254 460 89
200 759 4
432 750 6
481 769 17
266 404 82
619 651 16
299 510 73
267 642 70
807 837 22
675 770 35
488 748 86
169 233 32
308 695 46
326 340 30
308 333 99
430 531 47
33 445 38
544 661 76
161 965 45
61 391 47
121 375 3
68 762 24
401 590 79
289 415 34
128 330 23
102 562 16
579 914 6
92 974 75
144 974 42
200 982 80
98 907 99
502 735 46
58 902 52
64 668 66
546 713 28
21 603 85
113 957 16
169 517 17
63 71 39
70 183 58
139 419 28
26 500 88
16 609 79
452 615 67
141 177 33
305 359 35
285 687 57
431 551 89
12 758 24
687 950 62
386 727 71
102 195 68
121 451 1
60 301 77
47 908 19
201 278 90
673 931 23
109 497 16
93 946 18
176 767 26
480 837 8
100 639 21
192 573 42
320 544 15
72 303 55
131 274 18
707 753 93
8 453 98
236 858 64
642 730 64
108 836 19
424 474 12
465 881 87
140 470 93
20 303 58
188 712 48
776 950 32
343 598 52
358 762 51
71 909 4
633 811 90
224 465 3
193 519 64
130 494 98
455 962 97
86 934 12
10 218 1
266 684 13
261 938 48
14 332 68
256 488 16
282 529 44
252 684 63
653 678 44
366 945 8
64 122 38
487 793 26
455 715 98
74 421 28
516 591 35
277 687 98
602 952 8
550 695 40
513 779 58
233 755 32
117 291 98
68 676 12
590 939 12
576 843 72
726 785 13
47 89 5
488 535 12
215 468 75
548 597 70
287 766 96
42 712 3
432 981 19
138 532 56
143 402 80
299 886 59
452 806 55
413 760 5
185 632 58
419 534 71
716 813 2
138 820 44
543 617 27
32 833 73
369 634 79
259 264 43
642 943 22
3 524 87
82 413 63
336 681 18
78 848 47
131 983 78
519 775 42
8 835 56
88 818 72
22 556 37
157 257 16
446 541 1
384 532 14
606 817 89
96 756 35
817 967 0
896 979 3
100 148 97
623 858 28
126 895 17
127 154 85
627 846 4
310 784 51
164 526 26
101 296 69
23 565 88
523 771 25
843 959 26
85 956 69
733 804 82
66 319 80
196 609 23
305 352 55
138 404 16
528 531 70
161 619 9
170 938 28
146 795 14
240 475 86
187 603 47
381 681 53
1 826 76
52 260 0
363 822 16
156 233 91
2 774 3
269 359 14
659 957 28
62 473 80
53 181 95
635 835 19
74 349 53
75 602 28
187 531 20
354 897 96
397 613 96
381 788 29
72 87 88
249 715 0
372 679 85
469 808 20
597 810 40
221 308 52
270 393 38
467 952 39
52 543 61
724 924 3
98 687 14
144 718 79
648 951 97
279 620 19
232 775 18
71 653 34
502 867 58
231 425 93
228 331 75
331 956 93
401 792 78
417 482 45
897 980 55
130 411 20
56 380 21
24 806 29
428 655 69
125 148 97
41 643 31
180 692 74
272 938 79
387 416 50
244 771 34
306 888 36
46 343 91
104 366 70
97 816 82
544 915 68
218 738 91
156 467 14
800 881 66
553 951 47
689 871 13
