69711 61774
4593 41806 1
13652 19039 1
25523 38358 1
1566 54961 1
20048 57530 1
31727 63416 1
45988 47527 1
34312 52617 1
513 10493 1
13404 24138 1
57706 65716 1
2271 65361 1
60602 67471 1
39680 58016 1
3181 61245 1
37962 54504 1
38468 53995 1
28302 52254 1
25373 40855 1
16022 56942 1
39957 46383 1
25565 36732 1
40442 49475 1
52688 65623 1
5005 47882 1
4706 20739 1
54935 60270 1
35893 59186 1
43348 50406 1
5411 53091 1
62488 64996 1
21868 63721 1
48573 55297 1
41036 46383 1
28520 38079 1
10949 41524 1
21950 28815 1
16059 26281 1
19881 45627 1
28638 32898 1
26332 61436 1
11683 35842 1
36679 53701 1
43132 58144 1
32283 52522 1
14715 68279 1
7876 15419 1
6409 50408 1
22615 61844 1
19368 52868 1
21952 46487 1
18780 57732 1
28934 52017 1
5482 47664 1
37954 68225 1
22674 37452 1
10339 42820 1
16711 43368 1
5693 51926 1
1855 5811 1
30471 45668 1
35509 56733 1
41887 63330 1
6966 33389 1
5423 46895 1
28984 36138 1
56771 62096 1
35590 38855 1
12059 61773 1
35236 58405 1
15440 25528 1
19175 28374 1
45970 60179 1
32114 66529 1
40027 62808 1
24618 37006 1
30504 41225 1
7842 54486 1
51546 60467 1
26367 56497 1
16320 59076 1
1783 53806 1
17819 47396 1
25179 68777 1
31827 56165 1
33607 47587 1
15412 25635 1
41744 63055 1
1689 28497 1
5227 51716 1
34855 62295 1
36144 64918 1
26054 49759 1
12289 41569 1
2437 51868 1
1397 45371 1
49423 62950 1
7400 55472 1
39091 45243 1
35114 39580 1
4603 25685 1
60715 62930 1
19549 62391 1
32477 42950 1
20488 50717 1
16297 17923 1
9529 15455 1
2128 61435 1
30377 55421 1
23928 59510 1
27989 58764 1
7454 7680 1
13136 66735 1
22521 66562 1
18673 50115 1
29194 44504 1
19396 49231 1
17143 55323 1
12894 17723 1
40414 66967 1
29118 45595 1
11368 12761 1
150 22494 1
29302 60152 1
7781 69253 1
8281 35192 1
35235 56806 1
9425 37346 1
7507 54277 1
11237 59582 1
3959 55194 1
20972 45164 1
23122 36718 1
1209 46314 1
42055 60533 1
5003 66557 1
26516 37071 1
