93425 99508
13111 58579 28
6525 56938 62
43831 77853 20
6774 60633 8
940 66916 52
932 58413 79
8311 66251 94
13212 68086 33
24056 79446 65
33019 67691 21
33050 73063 70
18084 59932 19
35943 87302 100
34447 67808 21
20686 81324 96
25644 78721 62
60280 92762 12
18280 93363 22
34758 90672 14
7310 82545 100
10150 62028 0
2041 87117 26
22002 77544 58
27142 60547 45
41949 82487 66
36287 72047 50
42269 75259 68
14637 57093 32
41185 89722 76
19302 82817 44
35101 65511 26
10929 41866 2
28061 81169 25
36988 86365 77
29505 82248 64
39600 87006 38
14512 62790 16
6955 74236 12
31113 65609 86
8927 67743 27
268 37170 31
25943 72679 9
3205 42976 95
3991 71753 79
8557 52624 87
6915 37777 34
49480 81684 57
16322 85699 38
10732 84440 75
33893 75774 75
13100 80167 94
56782 88576 6
23721 85442 7
21128 92390 70
20325 92048 56
3728 81983 75
20041 82426 46
5534 67358 52
34698 79470 75
36781 82563 0
48439 79957 91
27685 57734 71
10028 55289 10
18164 73472 2
28712 71599 84
29305 92195 12
7815 41773 91
14136 60071 12
29598 83840 27
32008 70803 42
25876 65281 93
34893 74127 80
3978 66137 30
37827 74223 14
11297 82777 4
48189 83286 75
15753 93355 41
34427 93225 87
31227 64183 65
45014 88333 79
4956 62310 31
7341 52270 67
18399 71050 40
2147 41659 41
34720 90565 63
383 79892 34
5422 44069 99
25976 67747 62
2981 41829 0
58454 91231 30
20966 82296 49
27299 88481 70
45144 90833 20
43929 89913 64
3801 80772 58
24075 70176 87
11533 52972 78
33748 76546 61
45897 83962 73
10535 87342 5
5672 84938 63
7549 42790 92
9258 72886 84
29515 70443 2
996 81315 9
2620 51198 98
46610 79115 54
26506 82344 99
17607 76188 21
5677 72304 89
30569 67867 49
22049 75476 47
27574 74789 39
21050 63867 64
26621 58879 87
25644 93331 47
421 48173 0
29843 87360 85
18388 56454 65
49134 92838 34
28523 74381 68
30397 80444 94
10506 56043 88
18307 53271 2
7355 84792 39
27637 81115 89
49636 89370 16
37192 83318 52
43136 80326 45
49927 93216 77
43562 81823 75
24399 71689 34
12164 76544 66
29721 79327 91
33073 89482 20
56868 86904 46
6044 51417 9
16774 69761 9
9507 60345 62
8929 82438 25
3485 47105 70
27015 67283 55
47235 86633 46
20240 74490 97
30942 80962 79
58017 93074 54
