5669 8015
308 4240 1
2563 5516 2
2258 4162 1
1094 3648 2
3284 3357 2
12 360 2
2380 4339 2
1719 2078 1
2817 4442 2
3409 4588 1
1973 4851 2
1147 4503 2
430 2983 2
3630 5227 2
663 5493 2
355 1404 1
1608 2081 1
4081 4554 1
2390 3071 2
1216 3492 2
605 2230 1
2246 3260 2
2982 3711 1
540 3591 1
805 1752 2
2116 3691 2
207 2664 2
465 2722 1
567 2999 1
1173 1582 2
167 3629 2
2303 4674 1
1571 4314 1
1833 3910 2
4059 4740 1
1004 1114 2
390 423 2
504 2427 1
4352 4754 2
213 4573 2
950 2524 1
68 3449 2
2914 3390 2
229 2927 1
123 4368 2
2453 3650 2
2194 3834 1
2081 2914 1
4992 5205 2
3647 3835 2
1919 3940 2
2408 4754 2
335 3372 2
921 3570 2
3336 4000 2
2473 3368 2
1571 3954 1
189 1798 1
4315 5638 1
1570 2780 2
591 1155 2
2884 3139 1
337 2754 1
324 3150 1
404 1327 2
1462 3745 1
410 3920 1
1233 2411 1
1959 2022 1
1893 4239 1
1424 2932 2
451 5233 1
1588 3991 2
555 3464 1
3854 4963 2
397 4924 2
1414 1724 2
2615 4198 1
749 4390 1
1403 2292 1
544 3947 2
225 5433 2
1325 5503 1
606 671 1
235 1488 1
1194 4309 1
1990 3174 1
1678 2535 2
4132 4787 2
1685 1809 2
2103 5479 1
1304 4357 2
464 3800 1
3474 4374 1
974 1063 1
902 3423 2
863 3680 1
849 4416 2
4017 4301 1
68 3439 1
4459 4508 1
1414 3756 2
1398 2708 2
3625 4230 1
1177 1575 1
400 1567 2
1801 5006 2
119 3295 1
2994 3124 1
837 1543 2
995 4443 2
362 2330 1
454 5030 1
968 2225 1
70 1178 1
1028 2780 2
300 1587 1
2683 4162 2
365 4728 2
2675 4806 1
2258 3056 2
2795 4409 1
119 4657 2
1686 5444 2
4104 5218 2
2006 4457 2
2591 4050 1
2312 4405 2
853 4261 1
3492 4930 2
2326 2725 2
2224 3549 2
100 2582 1
2193 4245 2
2157 2460 2
150 1649 1
1367 5365 1
939 2690 2
1547 2328 1
601 4336 2
1382 4741 1
1405 2144 1
3410 5291 2
4123 5657 1
621 4251 2
2165 3467 1
542 2712 1
1054 5081 2
4746 4904 2
361 1201 1
2945 3242 1
2954 5641 2
3329 5273 2
2920 4308 1
393 2507 2
245 4011 1
2786 3931 1
1635 5235 2
252 4785 2
1629 4754 1
3828 4800 1
1000 2768 1
1222 3272 1
348 4547 1
2959 4909 2
2069 4014 1
1659 1679 2
1932 3656 2
3814 3895 2
146 1026 2
80 4051 2
3158 3375 1
3763 3988 1
735 5104 2
1962 5154 2
1291 4844 2
35 1114 1
664 4441 2
2382 4917 1
663 1382 2
4949 5209 1
317 4351 2
1007 3835 2
1083 5563 2
1794 4225 1
904 1728 1
1394 4238 1
3360 5291 1
287 4097 2
1850 3910 2
699 930 2
382 1075 1
1613 2097 2
2724 3933 1
3962 5553 2
1921 2723 1
3426 3913 1
486 4043 2
871 3584 2
2281 4655 2
1370 4358 1
214 3410 2
3401 3681 1
1890 4674 1
1649 4302 2
1240 5190 2
3916 4538 2
1646 4525 1
623 2722 1
1416 2956 2
557 1434 2
1621 3673 1
840 3925 2
4917 5242 2
2172 3948 1
1106 4521 1
1975 3454 2
1039 3887 1
682 3887 1
1660 3768 2
2602 3118 2
281 1203 2
3120 3188 2
1672 3957 1
1542 4984 1
1832 2803 1
681 3869 1
1287 3558 1
2664 4491 1
722 1892 1
1793 3266 2
631 4051 1
4084 4226 2
681 4102 2
2909 4163 2
1261 2605 2
1002 2032 1
1885 2398 1
2173 4301 2
3843 3928 2
1074 4099 1
1238 2189 1
1802 2985 1
3919 4770 1
2843 4448 2
1841 1879 2
3710 5525 2
24 1134 2
3560 4103 2
245 1860 1
2689 3519 2
4263 4816 1
1181 2043 2
2236 5210 2
705 1667 2
1992 2724 2
3753 4206 2
22 2650 1
2688 2692 1
1979 2572 2
3127 4342 1
1579 3309 2
511 3485 2
1662 3395 1
3497 5414 2
2408 4060 2
326 4854 2
1344 2076 2
4144 4646 1
2401 3973 2
1386 3465 2
2614 3505 2
1999 5144 2
2100 3195 2
3360 5001 2
762 4744 2
3301 4777 1
4945 5629 2
4241 5242 1
244 3604 2
206 1770 2
37 919 2
1206 5007 2
1001 5227 1
76 1105 2
445 3002 1
4505 4944 2
2580 2615 1
1737 3829 2
2980 4537 1
311 881 1
2365 4661 2
2809 4256 2
1915 5554 2
1957 2394 2
825 2040 2
3739 4045 2
2650 3832 1
1137 1856 2
1867 1901 2
3193 5657 1
1440 2327 2
1604 4230 2
2114 3603 2
152 2584 1
4136 4292 2
844 1307 2
4509 5176 1
3407 4597 2
3958 4556 2
447 4713 1
2800 4290 2
1020 1089 2
3081 4353 2
2367 2810 1
1433 3969 2
4932 5176 1
3967 4857 2
1051 3197 2
288 1708 2
399 5231 2
1592 2063 1
3063 3099 1
3179 3427 1
3604 4062 2
397 2193 1
2721 5069 1
1466 2577 2
2529 3095 1
3321 4954 2
111 1807 2
176 1818 2
2782 2949 2
3695 3871 2
3087 3421 2
268 2431 2
3759 4105 1
17 2953 1
713 1121 1
2947 5592 1
813 2593 2
543 1736 1
2444 3277 2
1615 2576 2
2423 5312 1
2275 5571 1
754 3321 2
3571 5117 2
1257 1840 1
744 4832 1
465 589 2
1689 4034 1
3387 4580 1
2047 3656 2
94 1550 2
3472 5280 2
3826 4562 2
725 2354 2
1092 5297 1
2874 5209 1
1811 5620 2
5125 5478 2
114 5000 1
774 2484 1
1726 5094 2
821 4543 2
1496 2286 2
2555 5629 1
3381 5353 1
1364 3282 1
3330 3937 2
123 4811 2
2389 4440 1
718 2662 1
81 5282 1
84 1995 2
4019 5544 1
3679 5414 2
820 1075 1
2115 3268 2
741 904 2
1934 3894 1
910 3655 2
1346 2061 1
1977 3941 2
3282 3415 1
2225 2405 2
4005 4744 2
1401 2963 1
3823 3964 2
4645 5654 2
3773 5512 1
3308 3324 2
416 4180 2
1469 4000 1
1605 5237 2
2009 4108 2
2803 3231 1
2445 4522 2
333 3162 2
661 2674 1
3554 5420 1
1395 4029 1
8 2886 1
2381 4955 1
2575 4841 2
1556 2220 1
113 567 1
776 4325 2
1297 4054 1
2346 3948 1
1985 3453 2
948 2827 2
1102 1519 1
2055 3415 2
2760 5089 1
1380 5160 2
1147 3363 2
784 2249 1
2678 3415 1
1476 2968 2
450 2946 2
1624 4631 2
1714 4448 2
1016 3114 2
1239 3236 1
3230 4485 2
266 337 1
542 1947 2
49 4988 2
501 1457 2
179 1770 1
4318 4716 2
4252 4454 1
1330 3320 1
1663 4571 1
2320 2894 1
781 4636 2
3852 4219 2
1288 5335 2
351 2039 1
241 1739 1
2036 3776 1
822 2699 2
3004 4949 1
1849 5250 2
1143 1982 1
2222 2320 1
3506 5665 2
1412 3057 1
799 1475 1
1291 3888 2
5400 5603 2
2360 4351 2
2748 4478 1
1481 3822 1
2711 5480 2
460 4352 2
4648 4842 2
2507 4939 1
4193 5007 2
2431 2850 1
4845 5573 1
1834 5414 1
970 1749 1
2522 2772 1
5530 5653 1
656 3512 2
2763 5346 1
774 3249 2
3436 3487 2
2664 4853 1
1343 2905 1
161 3349 2
4345 5331 1
55 4124 2
2092 2274 2
697 2463 2
3210 3588 1
4298 5427 2
2563 2873 1
3292 5279 2
1795 3872 2
2310 4146 1
1972 2900 2
586 4778 2
1370 3328 1
258 3421 1
1544 5234 1
4366 5073 2
3835 4417 1
3667 4913 1
3147 4606 1
311 370 2
3858 3935 1
2564 5241 1
886 5622 1
2827 2882 2
1226 3440 2
1768 4118 1
1012 1105 2
480 2897 1
528 4067 2
983 4291 1
1106 3426 2
994 3919 2
1383 2878 1
4674 4712 1
1840 3798 1
1359 4718 2
3938 4636 2
4 992 1
2582 4999 2
1655 2500 2
888 4806 2
392 3536 1
2717 4291 1
950 1647 2
2787 4759 2
2094 5486 1
1500 2561 2
2775 5435 2
869 5521 1
1280 1413 2
3580 3738 2
1625 4127 2
2268 3712 2
3821 4452 1
1670 4106 1
1182 2324 2
2484 3696 1
1470 2571 1
1635 3667 1
1258 2896 1
3010 5334 1
738 2227 1
3487 4829 2
697 4059 2
3898 4632 2
3698 3933 2
156 199 1
75 622 2
542 4922 2
4708 5351 2
66 3069 1
3954 4731 2
2781 5143 1
1277 3386 1
2204 4525 2
1256 1496 2
1145 4504 1
264 2643 1
1277 5308 2
3565 3589 2
1365 1572 2
2445 4758 2
48 1013 1
3777 4668 1
226 1956 2
3470 4639 1
306 1232 2
2510 2852 1
18 5083 2
4291 4482 2
3813 4016 1
4142 4548 2
2170 2333 1
1084 4860 1
5417 5613 2
985 4891 2
833 2682 1
2629 4191 1
1231 3409 1
2043 4938 2
3834 4295 1
4609 5182 2
3198 3967 1
3243 4028 2
267 4214 1
4323 4963 1
1195 1448 1
4007 4767 2
634 1906 1
1627 5364 1
2196 5311 2
933 1811 2
500 5090 2
2904 3083 1
2126 3266 2
418 1128 1
1014 4432 1
3486 3758 2
471 2946 1
1480 5547 2
382 1025 2
937 1412 2
540 4872 1
3423 5097 2
3535 4039 1
4137 5251 2
439 4367 2
3804 5229 2
219 1371 2
2593 3896 1
3170 5482 1
2332 2724 1
129 513 1
3705 4539 2
2202 5323 1
3339 4899 2
2318 4614 2
2335 4540 2
2153 3671 1
1885 5133 2
1419 5261 2
76 2182 2
3664 4364 1
1207 5172 2
1926 2377 2
2927 3148 2
791 1677 2
654 5386 1
3495 5384 1
1397 1512 1
3960 5620 2
2905 4376 1
109 1699 1
175 1352 2
190 5357 2
1872 3813 2
685 4092 1
5052 5141 1
1699 3200 1
3553 4371 1
2857 4495 2
1187 4211 1
1875 2362 1
3947 4973 1
3758 4750 2
4039 4233 2
421 937 2
1839 4649 2
1575 4906 1
223 3207 1
2111 2321 2
354 1027 1
41 2387 1
