500 3000
460 138 43
272 146 15
97 462 41
122 61 22
154 76 9
59 329 29
57 210 12
258 280 37
229 446 8
336 475 43
445 21 35
144 66 43
395 249 15
496 170 50
496 248 15
312 351 40
53 437 49
22 255 50
168 98 29
246 65 38
212 441 37
243 133 44
449 483 19
269 295 18
163 326 18
273 318 26
429 294 30
387 36 7
149 163 7
70 255 32
171 353 12
330 42 14
383 176 16
417 213 26
383 325 1
362 358 50
384 93 6
230 465 41
494 321 27
455 221 31
6 230 12
24 67 4
52 130 13
94 126 13
50 7 1
292 40 26
36 427 20
322 133 2
500 127 29
309 362 11
428 392 35
371 188 45
94 184 2
265 109 27
404 133 40
436 222 50
484 419 2
316 210 13
478 498 29
14 302 48
244 422 40
350 14 36
17 478 45
285 418 17
441 116 2
408 421 26
312 79 10
100 403 12
238 53 19
271 305 41
155 350 42
159 46 42
443 353 17
226 63 17
419 202 10
379 22 44
436 411 32
459 11 31
344 204 43
358 223 46
367 273 14
79 310 31
464 382 6
382 387 24
32 128 4
149 253 16
199 397 23
205 225 9
329 31 7
138 334 14
379 133 31
240 128 20
446 287 48
276 28 8
439 6 2
239 347 20
69 86 44
13 201 13
443 95 2
116 68 20
13 471 37
310 338 34
380 278 49
362 487 44
448 141 36
3 411 49
290 168 10
98 187 16
71 118 42
376 361 44
68 119 20
313 429 30
214 436 36
480 262 2
80 169 36
115 126 40
59 440 7
439 70 46
462 276 23
216 424 23
255 81 24
334 166 10
256 94 49
240 194 45
357 251 3
220 263 44
365 461 4
454 443 5
324 418 46
268 117 41
493 294 32
351 106 49
204 435 5
252 390 13
213 364 41
462 5 3
281 164 9
210 391 31
169 128 16
203 347 2
26 315 9
491 44 22
128 20 4
434 108 50
250 41 10
186 162 7
417 414 48
251 18 7
194 121 24
244 167 48
153 481 21
26 476 43
260 249 17
104 402 48
30 397 17
22 9 19
252 137 50
434 338 44
444 197 16
104 192 49
204 473 14
138 66 42
287 83 33
176 240 3
303 377 43
288 171 48
151 320 35
109 387 34
443 138 10
315 424 40
329 366 13
202 456 39
253 206 15
93 71 11
81 88 2
217 263 49
118 97 26
179 499 35
489 138 11
125 222 21
414 68 48
71 280 12
473 392 17
98 176 21
310 259 8
424 83 2
259 382 42
103 68 46
360 169 12
199 161 25
391 44 48
149 477 45
268 350 26
157 146 50
94 382 11
215 294 5
434 238 18
138 113 47
476 406 23
89 345 3
17 129 31
210 140 17
273 482 19
280 453 43
296 143 42
220 182 17
474 353 28
455 158 20
314 223 33
6 112 2
178 84 10
333 350 39
117 194 34
120 145 33
381 129 7
276 237 21
496 200 32
438 16 34
13 122 17
398 332 38
383 135 40
498 492 4
402 265 46
259 247 33
392 409 29
4 143 9
245 331 16
296 336 28
358 181 14
170 154 27
327 158 11
129 451 21
411 3 7
152 117 47
385 177 10
176 419 32
340 82 4
218 498 21
3 137 42
459 482 43
390 112 10
499 93 40
435 309 36
120 367 48
261 310 29
28 139 21
133 17 31
236 341 26
190 27 24
67 205 46
175 140 26
155 175 6
411 296 5
203 156 27
413 420 49
164 152 19
136 307 18
500 1 22
92 386 49
460 7 9
394 110 25
289 208 26
161 373 12
106 234 13
422 467 49
32 479 26
205 134 23
378 481 45
140 376 38
246 362 4
40 240 9
113 385 42
470 326 1
102 494 8
325 287 16
349 80 28
173 273 10
182 229 2
98 407 40
111 82 39
253 152 2
10 438 33
250 176 31
170 227 26
499 207 24
242 88 33
296 97 35
303 106 36
321 254 7
91 178 17
4 116 2
302 122 27
266 410 13
178 214 8
207 134 22
134 165 11
104 61 43
50 208 32
238 54 19
127 282 47
112 192 40
381 450 14
282 16 44
461 289 6
163 143 38
76 176 29
374 308 1
404 185 1
401 125 40
78 327 3
66 307 23
287 163 42
28 243 34
244 368 18
185 170 36
312 223 39
432 36 28
452 288 28
452 125 17
193 120 16
238 500 6
451 156 19
64 188 48
482 293 13
22 159 24
157 336 49
158 97 22
288 344 23
395 214 12
387 354 38
275 211 40
337 433 48
301 58 17
430 410 13
276 231 15
471 422 34
444 274 36
224 266 9
388 243 13
333 26 9
430 132 29
288 225 13
407 421 36
74 276 30
219 445 29
123 42 9
252 279 14
144 31 15
160 127 33
351 285 14
20 443 16
392 282 9
207 404 14
323 274 17
196 474 14
152 208 29
463 59 16
461 333 21
381 456 37
184 294 36
129 489 28
265 272 39
162 110 23
356 370 41
494 413 3
384 254 30
303 140 8
222 153 45
361 482 10
364 78 16
35 196 17
236 59 35
99 413 2
160 432 4
360 204 18
443 354 49
178 413 10
253 483 16
182 146 44
390 201 35
336 489 15
393 400 9
3 242 5
63 344 25
432 408 40
161 252 36
328 353 38
238 192 32
414 342 3
156 453 26
97 150 17
15 98 47
92 2 44
123 85 39
230 342 10
250 59 14
341 258 20
38 52 5
482 167 5
499 359 37
91 175 50
303 445 18
129 358 27
22 40 35
455 447 15
308 82 43
35 287 5
389 110 49
487 257 3
188 382 29
475 2 45
320 62 35
201 82 2
315 1 13
55 302 26
150 182 14
300 215 24
345 64 29
134 88 42
479 129 20
316 404 2
17 484 6
104 139 17
500 58 5
119 161 1
376 155 17
279 95 15
359 180 13
40 153 43
401 135 27
78 280 6
361 169 7
370 162 45
365 467 6
163 386 35
458 301 50
408 104 28
447 215 36
59 409 31
402 486 9
44 343 49
422 250 19
39 193 18
359 344 43
438 500 27
188 362 26
95 449 3
56 32 10
305 237 29
163 253 20
401 165 14
246 379 27
378 148 14
357 204 33
336 470 19
495 414 34
174 91 28
11 372 2
127 231 26
457 305 32
99 63 4
275 226 45
498 356 13
242 79 43
16 323 10
449 238 30
174 52 33
68 466 36
192 436 15
463 189 11
116 97 30
324 410 14
286 104 50
127 238 32
344 493 31
53 181 10
436 173 33
395 271 11
163 225 28
240 426 10
377 445 24
488 418 45
184 448 28
51 128 16
365 27 41
62 164 13
273 375 27
409 398 6
334 314 33
117 38 40
68 81 35
270 35 30
55 259 28
459 261 11
359 389 20
157 37 3
75 130 41
470 89 22
245 193 12
420 372 20
349 253 39
126 308 17
460 95 4
49 10 9
20 227 3
93 266 8
237 384 43
153 139 28
54 436 46
392 72 42
4 164 34
126 480 45
478 116 35
23 292 11
67 350 37
3 130 33
316 499 45
142 212 30
153 134 50
48 38 14
294 364 34
328 185 11
189 41 11
481 137 23
55 205 15
178 140 45
31 257 20
95 123 36
246 27 6
387 77 7
16 312 29
307 326 14
262 325 31
35 390 41
157 88 49
188 483 48
218 376 45
366 43 46
102 338 38
19 29 47
236 78 18
332 137 38
17 169 12
351 15 15
59 240 35
29 57 6
22 2 32
289 388 22
495 230 5
400 477 39
418 368 45
46 123 16
130 69 16
410 287 29
71 231 27
34 431 47
135 34 9
250 172 26
260 299 48
478 186 16
18 43 6
373 180 16
284 245 40
84 165 9
111 183 39
142 157 31
454 271 44
281 419 13
300 7 2
449 219 9
408 313 28
67 99 40
426 341 31
345 403 13
242 468 22
133 322 5
189 383 39
320 427 34
365 444 7
109 479 32
499 467 17
288 286 32
363 364 16
71 124 3
19 283 13
174 386 10
12 224 1
430 74 10
304 496 6
225 59 32
93 372 28
472 109 40
265 121 20
126 260 7
279 264 29
311 315 22
353 307 31
279 224 21
311 164 31
80 368 29
499 357 46
126 448 5
269 15 23
2 34 46
161 247 47
465 29 1
339 466 42
138 489 7
366 460 27
298 57 3
245 180 4
495 385 28
302 199 20
307 351 16
321 114 34
365 41 23
148 88 37
264 449 14
270 83 31
112 452 14
273 345 16
14 204 37
423 379 27
360 304 39
357 149 6
229 288 22
355 345 10
160 134 35
95 242 22
307 311 14
356 267 35
338 246 39
185 236 32
5 205 24
91 283 23
267 25 25
152 75 38
232 303 43
201 482 19
122 272 3
448 232 13
82 475 49
337 19 50
247 240 34
150 384 40
64 168 21
462 138 25
218 98 28
157 171 4
381 305 10
256 28 36
136 499 19
302 296 35
194 4 33
345 400 37
363 176 4
21 212 6
266 365 18
327 353 2
376 85 48
61 150 27
233 378 1
330 424 23
398 15 17
57 222 19
351 143 21
498 245 42
122 24 25
435 401 25
388 246 40
254 132 13
499 352 40
99 437 23
488 338 40
430 344 43
270 456 19
391 152 15
151 22 39
84 465 7
49 156 34
122 416 22
316 84 18
495 263 1
446 223 50
83 110 32
443 481 14
110 339 8
171 16 34
161 372 15
257 370 1
140 391 34
130 116 30
219 401 10
101 42 22
340 276 5
476 37 19
160 359 46
271 413 29
272 458 5
316 335 29
278 238 40
67 200 38
392 108 39
63 196 37
101 373 46
269 496 1
198 491 42
427 411 10
387 378 35
76 491 2
90 326 35
63 150 45
415 199 15
141 432 33
17 313 2
135 250 47
413 262 44
7 41 6
297 52 50
6 264 44
350 419 13
231 42 48
201 103 40
342 64 12
258 455 7
292 218 41
42 166 49
149 323 34
460 165 44
261 27 36
271 121 50
164 215 18
210 373 11
476 271 33
451 351 50
209 448 10
296 419 15
15 495 40
255 472 30
11 111 27
264 367 42
496 361 48
9 177 46
142 44 39
65 469 12
92 148 5
264 381 24
54 394 9
2 456 21
313 255 36
259 112 3
95 276 1
147 73 29
439 160 14
362 418 19
185 88 44
265 326 7
60 150 47
277 39 1
435 150 3
383 334 2
346 65 34
46 142 42
54 319 24
42 282 3
443 127 15
329 144 37
389 76 42
179 464 42
248 159 7
488 236 41
488 75 28
257 225 10
417 268 47
131 167 46
344 135 5
407 313 23
18 476 10
195 11 9
119 106 7
148 176 45
210 296 14
102 162 45
391 12 13
180 28 18
85 425 6
207 283 13
365 172 50
124 440 19
259 402 42
284 293 18
108 240 20
480 257 47
104 215 44
361 65 28
338 99 3
210 21 35
17 230 48
124 47 11
128 49 1
470 422 20
340 134 3
65 110 21
12 363 33
378 350 16
89 494 26
226 406 27
219 285 23
95 414 23
188 139 34
95 182 20
127 239 18
141 392 50
51 337 48
103 352 9
354 29 50
400 49 13
119 412 16
158 360 34
277 143 24
375 460 37
