8000 7000
4838 5918 575
618 5735 434
6682 4148 134
4920 3681 862
4085 1296 517
1713 6261 39
1980 61 581
5380 1695 132
2298 5429 667
5586 1002 424
4841 3115 759
3898 3414 516
226 5020 292
3625 1741 856
5383 4438 720
3232 3784 22
1709 904 805
5831 4349 239
5071 4811 489
114 2763 665
1392 7345 778
5362 680 472
3217 6221 165
4127 713 715
7700 6658 520
6627 1107 2
5742 7311 229
4618 1537 438
7827 7131 674
5256 4118 768
3358 5757 335
5387 2245 54
1471 4302 774
2882 5215 451
810 7410 681
4845 3772 78
6589 2148 512
1894 1517 853
7472 3969 265
2735 7584 162
1859 3608 548
7742 6996 254
2533 1967 494
5126 959 996
864 1496 590
1095 2430 1
5004 4726 86
728 3260 658
5939 1866 915
5747 6502 798
3714 2625 752
3457 4365 205
7537 1666 167
1766 4636 951
1204 180 369
527 381 937
7330 7054 143
571 7302 693
6628 5859 137
7559 3881 33
4322 2349 86
6398 1947 715
4330 24 125
3744 2436 458
7778 6866 227
1521 6568 407
7087 6800 821
5765 5397 677
102 6755 495
3978 7886 246
3314 509 445
726 2486 288
4998 4606 298
3377 2688 615
6917 7299 214
6181 3030 812
6064 5169 909
197 4999 533
6927 7741 292
4155 3446 734
4706 3007 870
2902 832 16
5706 1335 528
6483 7661 856
2035 3807 81
3242 7130 42
452 3315 286
5851 2341 935
7241 5758 60
58 1691 836
6239 1319 142
7096 7390 68
738 6907 944
2291 1625 856
403 507 628
449 6632 645
4877 4456 141
1592 2435 487
7530 4238 762
5441 6316 36
5872 398 100
3741 600 187
2817 3504 995
311 6114 965
6978 5607 917
5164 4333 20
6731 5414 48
6104 1881 74
6928 3172 377
7202 4010 740
2255 2027 468
5193 6325 193
2554 6823 575
2352 5451 917
1703 1452 18
7720 6058 586
2613 1928 265
1852 6817 472
6913 2442 380
2882 3908 107
649 4241 685
800 5648 646
7904 3162 596
5084 736 646
531 3460 679
3624 4433 249
7578 1061 333
4781 4466 560
1602 1170 484
4374 4271 2
25 170 16
3872 1471 466
3099 7588 599
4128 5964 587
2013 6937 490
212 1187 401
2423 5716 101
5358 4956 219
4022 1433 874
3741 778 360
2562 7219 59
30 5670 39
2700 2497 398
3779 2169 987
5244 5698 829
258 2696 213
4249 5536 909
2048 3844 356
6522 315 294
2783 50 866
7276 6967 980
6277 1495 367
1699 3848 597
3181 3303 235
6374 1403 915
7027 3952 344
3637 904 419
7836 4034 894
318 3351 727
1188 3681 970
128 3727 984
331 3949 792
5182 5286 432
2530 7376 879
4264 3429 30
2321 6505 950
5574 2043 506
1388 4601 229
7718 6468 443
4919 1739 142
5831 2074 54
3830 5096 429
5253 860 969
5306 3899 541
135 638 456
4072 3842 708
2727 4305 232
6091 2614 161
3233 6099 521
7004 6139 132
1663 3770 376
6864 5771 126
6084 2108 261
6050 6879 867
2838 993 321
4578 6560 460
3569 7693 339
4414 6348 160
6921 3848 813
7503 6060 845
4095 4687 242
6310 2676 123
1928 1760 786
3224 2811 457
1177 5441 161
647 7390 52
6102 785 203
7218 3055 652
7228 6931 267
6079 6244 888
2189 7863 638
7815 828 772
188 43 587
3042 2740 33
217 7522 645
7412 4138 662
6911 1826 124
3576 5328 309
2939 7443 760
5131 1493 648
3198 4294 654
6459 6992 876
1286 3396 911
3280 2222 118
5897 3928 679
3931 3549 357
35 4446 858
3070 7673 80
5825 4621 629
3580 1014 848
4494 4418 995
5889 655 632
7133 3919 542
5364 1838 907
7128 7171 561
6396 3611 70
7144 7611 3
6928 4393 15
7269 1001 621
5698 7263 429
5824 4707 998
5838 484 66
110 6958 510
1183 6766 566
6615 3467 362
6882 5036 469
1983 1858 279
6158 306 458
5492 5550 425
2995 4900 501
5944 5192 141
4546 4902 698
624 5688 989
541 7106 252
7118 7769 876
2272 6170 561
507 587 514
2863 1744 455
4680 1022 433
3905 4660 719
4119 4733 328
4013 4974 287
7812 632 623
7859 619 318
4313 5718 940
5453 5388 915
1842 5818 509
247 6924 998
5677 7189 518
2555 3250 962
7254 4524 628
834 1656 314
2449 1129 626
2199 442 147
329 5927 756
1278 5218 618
2967 826 497
1140 1298 776
5238 5246 757
7815 5843 402
3814 544 319
4954 189 756
5982 5297 224
5745 6247 560
1464 3369 909
3715 4241 290
6295 7225 310
2431 5264 496
1051 726 991
6751 3769 376
5511 4610 101
1644 7184 9
2609 92 84
2513 370 406
2220 6442 529
1444 7809 431
690 804 507
1969 7248 569
5781 1604 486
3657 1679 673
7911 3149 971
5643 1912 388
7784 7642 961
7984 3066 802
3951 424 967
2716 6373 532
1116 3364 22
4772 3670 690
1405 889 2
4378 1317 658
3262 1748 33
6176 5133 725
4758 762 935
7851 283 378
238 2253 328
7895 7514 417
2196 7321 38
1387 4926 296
4065 7333 493
1773 6862 593
2087 5751 572
489 6870 272
6559 2792 743
4541 205 591
7697 6762 714
1576 3460 667
4228 6806 255
1684 4432 83
3496 5562 915
609 4921 871
1602 6626 685
7794 5986 335
7383 6117 224
7421 3131 70
1115 6451 194
2382 5029 45
3291 1117 422
3165 3813 540
2153 2853 70
3153 4556 54
3911 3079 340
4499 4710 635
6871 6150 594
1816 2977 723
1794 5883 768
2025 767 728
6887 5084 69
2868 5695 637
774 7049 465
6743 327 181
2925 6556 289
7531 3670 590
6818 7536 244
911 7529 943
3152 5746 293
7030 7212 439
2295 2279 881
3123 99 416
2126 7678 691
5379 6936 395
3964 535 181
5531 6279 301
6711 4498 785
2291 5831 769
571 2012 599
7186 5435 454
4847 5111 602
3932 6778 892
212 3082 854
2968 5947 155
5295 5096 123
326 7364 988
5879 5988 112
2720 4499 523
4290 1876 857
239 3470 628
7852 4452 306
4753 5672 933
4106 1822 944
776 596 892
7501 3064 988
6598 6446 730
122 3934 907
3896 167 158
1737 6721 524
6800 3761 550
2971 1823 457
5719 5164 427
6625 2772 169
4465 6543 116
138 4897 204
2802 6169 14
5612 7803 79
7841 826 161
7350 1366 746
7563 3965 222
7957 6515 312
5707 825 86
2469 2023 398
984 1079 430
4314 6893 551
847 4965 641
6574 6447 70
7489 4348 70
4108 912 900
2944 6766 19
3390 1532 828
1829 3284 913
3284 5428 741
6372 1686 409
2197 6676 855
1492 5211 710
7274 5158 585
5369 5746 901
1736 4331 922
7636 2882 922
6046 3176 582
4525 687 532
7103 4911 874
7454 3725 187
1489 5296 994
2403 2761 880
246 767 218
5984 4116 348
442 2982 579
7986 6611 341
7230 7726 480
7418 1733 478
6500 7081 913
7975 6579 982
4475 7170 95
5956 7646 395
4397 6729 209
2049 3877 455
4198 6265 253
196 4406 43
4999 5515 130
5618 3894 706
1803 5952 229
1338 1395 345
3320 4075 562
3107 969 869
6986 1084 300
3543 3347 708
1628 1491 400
6639 5460 312
2839 4740 78
6463 7525 609
1183 4135 216
5156 4321 225
7228 7651 720
3021 911 933
4166 2107 421
2375 7951 634
3092 2841 205
6733 3272 990
7333 7385 992
7375 5905 376
5648 2200 596
6081 3293 369
4200 1854 92
2471 7467 292
5875 5129 974
1567 1071 755
3597 6811 108
3950 4218 980
7384 5958 850
7055 1201 251
2470 2326 209
5881 4140 48
4457 4383 603
7791 7724 508
4954 2121 135
1933 3265 551
1000 7896 719
7441 5820 365
7459 2688 407
6824 1874 274
1512 7080 239
1914 6802 490
1295 3645 900
887 6025 22
2386 6394 636
7267 2866 243
512 437 152
1055 7203 204
3427 5357 126
4729 437 290
6510 3091 799
630 1332 978
4778 4054 245
1375 3527 144
2018 2290 56
9 3425 498
5517 7290 474
4585 4648 191
123 3365 177
5143 2597 80
6211 7638 437
6560 6637 382
7851 3120 554
2002 2062 150
6233 5786 134
7939 5117 986
6777 4110 78
4259 6143 473
4015 5736 14
834 2326 985
1663 1964 56
2276 814 219
186 6103 974
643 3016 824
107 170 506
2021 4518 482
898 1204 205
800 3127 276
4928 415 197
7594 4420 517
5475 4221 164
2597 1820 186
6036 4180 670
681 5052 684
5454 3430 507
3348 2242 354
2897 3013 365
4943 5331 631
7943 6935 291
5602 5259 845
7990 2918 935
58 6373 555
5543 1194 956
6201 4138 69
5013 2138 755
6655 1566 419
1754 5231 7
758 7144 668
2901 5243 815
1827 2114 394
7968 5802 803
3883 1378 121
240 3287 18
2339 7976 700
3405 5970 210
2781 4104 704
7413 4527 184
7279 2808 701
6091 3601 427
5700 5661 80
4036 1400 796
488 4275 974
1813 3208 623
5136 3515 566
7190 2908 447
1512 4458 149
1851 2827 406
4640 3598 711
5621 2232 52
5624 4355 523
1827 5343 170
3979 919 687
1470 6750 374
4121 6137 910
2116 6145 521
4057 4969 175
4581 6738 822
6463 6619 671
5548 6496 997
5513 2541 960
7727 719 416
6095 7691 739
633 1952 53
1291 3551 836
7799 2113 629
5670 2302 148
1953 5015 803
6085 5904 36
7467 5642 344
147 6848 7
173 1362 526
4752 1125 400
4174 7808 651
4122 2031 693
3895 1743 224
7034 1492 892
4983 1004 441
5169 2301 965
2802 4866 967
4356 2476 583
5134 2570 212
2181 7728 974
6176 5970 622
7203 6092 573
6996 5389 479
820 5732 768
27 1563 539
6977 4841 924
2713 7578 162
210 5126 658
5071 4012 824
6075 7754 217
902 2506 435
5222 2264 282
4540 1801 140
4642 7373 978
3347 4651 977
7148 6194 3
5431 2472 737
4220 4642 499
655 637 153
7763 6589 792
7528 950 734
3395 2253 691
5854 888 772
5758 3000 308
11 5137 445
6499 487 758
2868 4610 261
4102 2613 732
3889 6221 453
318 1499 811
7453 6715 165
3828 3034 353
894 4977 391
5738 1899 885
3767 884 352
7689 3107 113
1067 377 122
2095 1194 4
5683 2481 840
6520 6877 732
7428 788 440
4940 2753 148
3482 7788 951
4840 3755 257
2281 5669 265
3568 3117 19
1540 4180 327
949 3 161
3982 4484 117
2307 2685 941
4001 7496 772
4014 3631 745
2493 893 940
2589 6167 473
818 3934 510
5014 3982 514
6032 6990 472
1804 1778 163
7375 2336 449
6182 5970 867
3002 3627 240
6928 3547 530
2465 4940 775
2823 7682 979
62 7995 869
1248 2290 353
5926 7634 459
6106 5688 33
2740 7066 854
3557 6508 936
6002 407 566
6066 5666 766
842 5078 910
444 337 922
2283 3958 508
1878 2499 152
5566 4469 162
7478 4542 279
6923 3900 246
7362 433 943
5862 3692 910
6297 674 690
7583 7977 951
3684 6102 601
4266 5543 247
7647 6018 962
2636 7604 225
7330 3761 136
1351 6790 609
4340 4151 515
263 198 671
6161 2581 608
6796 2524 768
4474 1196 220
2778 1979 659
6205 615 452
991 3184 744
5382 3619 128
4324 3047 672
550 7714 569
3255 7742 440
7970 688 111
2711 2765 638
4351 340 631
5537 7476 305
6155 3834 132
7482 5671 827
1967 4064 909
2045 4472 441
6771 5631 711
1382 3683 822
6865 3068 724
7488 5023 524
4606 6031 363
1611 546 804
4790 1779 280
7473 7669 8
7943 2638 199
3051 6137 446
2912 6306 100
5551 6841 926
6555 5941 638
4828 1458 183
839 7613 965
2856 1824 470
2234 7375 129
2568 3466 256
3158 4169 213
7457 4944 1
3675 5886 882
1454 2291 557
2797 7201 520
5234 4581 287
3174 3573 633
1377 4626 407
6047 5747 559
5385 6829 817
5690 509 305
69 1599 227
7091 3139 826
1189 110 486
5031 1203 146
3287 7498 87
2980 1253 696
3418 6044 464
243 518 639
868 306 314
7395 5253 119
6674 5798 453
151 3516 527
7759 1838 411
3026 992 576
5384 6632 145
3073 236 533
526 4838 823
4681 3274 122
5068 7736 609
6802 1603 42
4204 6905 902
6099 2408 812
132 6492 911
4255 3393 824
4934 951 348
6576 7157 158
1063 5583 915
2610 5243 719
1807 5990 530
2066 7680 831
6019 1090 390
6856 2457 618
6926 703 836
290 1706 326
7414 1239 255
7250 7063 432
6877 4272 74
827 5163 59
4726 102 648
503 7558 302
7211 6489 2
6699 2252 612
7435 2746 808
3406 1610 162
4089 7121 130
1463 4203 379
7186 1938 209
7399 3420 199
6366 5601 729
5078 7548 677
5498 7459 561
4097 2568 198
7813 1798 333
2547 389 99
7561 6994 691
3538 430 161
7083 3250 740
4013 1183 51
2070 2749 268
3589 3714 239
3748 1225 181
6617 4218 446
3725 1329 273
3573 5710 829
6933 6245 382
1853 3863 417
1841 3827 134
6069 4205 282
2169 149 350
1876 6734 310
5779 5882 766
6282 3024 152
6302 856 210
7246 3720 689
4958 1585 432
2029 5947 680
488 292 75
1487 1668 678
2189 1719 606
331 2054 580
5451 356 508
6190 1364 512
7089 1377 590
2887 7262 565
6995 6067 638
3510 4511 970
1646 3253 27
3829 772 741
157 3236 301
6950 3934 936
2813 1902 747
4191 7179 587
6237 4155 370
2611 7329 684
1258 508 536
4930 2652 708
4376 7539 353
1282 5002 867
3476 5379 498
4239 3380 359
170 7289 59
3249 4494 703
1074 5018 273
1644 6818 454
6527 2158 100
2573 6138 910
458 716 493
6387 1356 65
1180 1766 828
539 4522 471
7674 1752 640
5680 3945 21
3605 6061 240
6481 7633 578
6194 2994 897
2277 3910 975
1878 7103 319
6684 1654 799
2165 258 313
4487 6659 652
6301 4557 439
6747 3186 971
2206 7394 239
384 7189 458
7612 4029 504
7776 1333 9
3543 162 782
6381 260 262
3609 7017 478
7923 5633 861
7201 4038 547
224 5868 911
5424 5789 354
465 5612 376
3857 197 498
7006 4222 119
141 5211 247
3815 7520 369
4512 7328 862
2182 2965 256
4463 4826 509
7744 216 636
7848 1299 349
5944 4348 742
7637 2752 459
2531 3643 391
6329 729 799
3325 1295 882
2234 4134 522
7380 7198 402
1236 6984 676
3222 1129 198
315 4362 596
5663 6584 162
7376 4009 288
957 6143 22
1416 736 551
5 7573 604
3544 6840 325
476 4503 877
3172 7760 94
702 5080 948
425 3496 782
1426 2699 799
2089 5236 319
6705 6322 227
4951 7966 427
5875 585 479
7171 6812 756
2108 6574 915
5960 52 482
6726 6355 361
4211 5964 821
6960 1447 507
6005 5814 954
1159 3393 302
5964 7162 650
5140 3790 895
7854 3237 145
1510 316 29
887 6035 347
7200 6823 318
5780 2745 949
4 5315 446
1392 2933 531
2753 3211 268
6047 7385 316
6587 2345 615
4104 7988 654
6425 5093 496
3479 227 7
6356 3410 553
7588 2007 304
7038 119 902
925 2856 984
3920 1659 650
122 5210 615
3832 6548 980
2210 3119 250
6114 6769 778
2393 2220 510
4806 7782 871
4717 815 415
1330 7511 200
2784 5041 130
3288 5480 909
535 1495 673
7322 547 997
644 5055 7
7060 3114 946
3024 6089 644
4074 3423 518
5132 739 890
1811 466 933
218 2008 64
6501 4587 765
6358 6235 822
6627 2583 362
5002 528 178
4164 3255 702
5522 4443 258
1028 2630 616
2252 5932 914
1904 6795 68
4612 5066 711
3117 256 467
5598 3487 412
7754 4609 731
3077 6148 197
7239 4792 25
6482 7758 881
6565 2887 573
7488 4824 252
4207 7863 350
5007 6994 317
4616 7584 608
3127 7561 645
1078 2649 674
4623 6969 121
3311 3810 908
637 528 745
419 2320 808
928 6275 465
7561 2040 919
3067 5014 438
3117 5150 880
1764 6311 381
6266 4383 499
7150 7100 536
4739 7453 851
2835 4814 889
4440 7211 757
421 3541 619
3335 7289 35
2870 5525 31
1647 6721 262
4038 4456 484
5772 6322 491
3884 1549 929
5119 732 492
5512 753 711
3549 1181 881
168 5372 314
7675 3210 911
1208 991 648
1528 6433 889
3951 1308 621
7754 4910 238
886 5077 861
5196 188 707
283 1625 514
72 127 114
7671 747 376
6337 2174 394
1117 4373 535
1988 7877 976
5955 4205 344
1903 651 317
5108 4837 378
1217 2145 289
7223 7257 750
5475 7132 792
121 3796 585
4983 6660 787
5058 2786 530
3872 700 714
4694 2269 916
4817 5172 159
1641 5681 534
1178 5965 702
7688 7155 240
7919 2508 555
2757 2913 207
251 6914 708
6242 2490 620
3812 1339 312
4481 1025 297
6559 5413 15
7243 5261 110
4727 2946 620
4127 5204 90
1817 7249 607
6525 6968 117
3300 5304 519
3763 4050 356
175 4150 199
3143 1086 430
2778 8 191
1765 5671 422
5016 6874 702
5642 4947 753
7676 4656 70
2097 6832 234
579 3604 896
7101 3616 819
1954 5762 264
1127 1027 486
3857 6737 955
2090 3908 11
4887 4388 728
4205 5670 669
3287 1426 789
6449 7119 440
219 658 194
1659 6741 748
1119 1898 75
6978 7 144
4960 3544 305
1244 7294 384
5286 1474 17
4005 2213 40
3343 7963 713
2034 3975 189
5342 1302 150
3061 3799 728
7299 4879 91
7280 5829 70
939 2551 23
3806 6398 670
5771 4800 838
2655 580 258
4008 10 194
4644 175 753
7786 7884 714
284 3843 939
2145 2310 507
1821 2292 245
3224 5733 909
6998 2231 39
1817 5623 304
244 5834 236
2624 2066 456
2515 1414 753
5635 7999 886
487 5667 233
6273 428 385
4970 587 503
4427 786 500
3015 2275 548
5616 5731 817
5064 7639 683
6860 3128 901
5053 7205 779
5587 3769 45
6189 1004 236
1946 3213 297
6145 7157 437
6949 835 23
1006 6722 917
4407 6082 242
4003 22 8
4567 7022 596
2419 2884 675
4192 2203 369
324 5883 146
5515 7030 621
6840 2834 465
6207 6640 457
3867 4432 593
5657 3374 17
1486 6142 45
7864 5231 600
5875 2736 797
844 381 183
7002 3537 770
5407 1750 971
6058 4206 715
6563 6236 46
3538 5637 462
5246 5308 497
498 1423 178
5331 2331 256
5701 2891 732
5906 3399 77
7441 652 816
1858 6044 96
7954 3269 321
6668 3381 231
2723 2899 988
1419 4885 514
3309 7179 817
2515 7509 889
7764 2756 194
5183 3920 801
5856 7336 665
2942 3341 212
1961 1079 165
7904 5420 144
7686 5403 236
6748 2324 914
1655 5298 998
421 28 308
7248 1368 521
4399 4727 268
168 757 488
5435 2149 470
3970 3207 993
4906 4503 540
250 2673 998
1345 865 867
4276 5763 803
2360 4071 105
6657 1226 161
905 321 494
1491 4250 490
7991 7856 304
3107 6234 877
4956 4421 283
6624 6673 700
2743 1742 448
6746 6063 235
7540 2372 116
6510 1247 634
2749 3250 51
4468 6666 807
6274 1512 197
7526 5294 461
1284 96 354
6483 7649 112
4967 3248 274
3525 96 317
4857 753 535
4463 3612 893
1021 2671 430
4634 2886 322
764 7505 90
2129 409 700
3982 1546 155
4683 5225 517
6244 6912 151
5144 4522 131
4505 6844 695
5519 1731 582
7802 5971 965
5814 2388 554
7251 7955 171
1139 1668 317
1915 3825 943
4338 3728 916
1697 114 853
3671 7248 691
280 5336 420
7462 395 732
4896 3471 613
7088 3966 705
5175 2072 168
6784 1384 308
5216 4149 281
6406 1881 998
1649 5781 955
3331 2427 341
802 5954 467
7221 3104 843
340 136 71
4997 4813 404
5152 1575 447
1070 71 56
5665 7676 956
3248 5085 762
