10000 100000
8327 5767 18142
3946 7346 95299
856 7724 95250
8551 7618 22098
1810 1417 2210
6092 387 91475
1429 7824 44988
708 5224 67428
7972 13 45759
7942 3338 29541
5858 9796 35310
5653 443 94788
1814 9500 16313
9501 3818 82285
1440 908 57736
1820 9591 91120
1504 2580 53897
783 6729 2004
532 7599 75835
6206 1789 73565
1378 7974 3834
7577 1249 77017
1798 7639 66349
1795 2193 68816
2270 3160 5102
7008 4017 69836
243 6470 26681
5963 5516 64966
7897 3618 99608
474 5308 55763
6698 237 24685
7077 2778 10799
6575 8722 82305
8196 6935 95592
2321 6852 10317
8 5834 6124
3022 7962 59590
1532 2013 52374
7134 599 59821
6253 9603 24407
2264 1230 85079
4566 6380 76705
64 2502 41785
9760 7403 39449
3076 3545 41207
2026 4711 7198
1878 6690 68878
7876 8656 53748
7932 8855 89792
3442 1188 79669
8869 9701 61696
2446 3282 54169
6062 4827 88350
4718 2845 36228
3477 744 49813
1704 7893 29104
508 8216 2290
1666 242 82076
98 5277 68582
5213 9745 53717
8862 4570 51919
7604 3251 20068
7725 3701 19619
2993 1364 4951
6605 8812 70558
5073 8600 49011
6138 1160 69997
8312 1660 32250
4824 3058 7579
3687 4395 4025
9858 8066 52411
9900 8799 96404
3810 9342 70295
7194 1307 65589
5472 7186 84376
4682 5974 38130
703 8877 30518
9313 5529 94494
9174 1404 6818
2500 9419 82706
4988 7737 17457
3064 6876 9948
4967 4646 21003
6462 7281 61128
5126 2470 17108
9742 1311 77166
8813 6557 22170
3827 3722 16572
9328 3896 53887
9383 6639 20132
8339 4559 16264
8927 8800 81768
2768 9065 12295
9801 5424 91268
3337 6832 17029
8837 6223 56604
2304 9718 7347
6049 1623 41863
3093 5879 86514
8120 2215 38267
3008 1345 35169
3981 1487 75578
2158 6160 41415
1667 4413 56701
240 3534 40289
2609 7495 93600
9249 3450 64333
8564 3305 8654
8696 8280 78679
6532 8432 36941
7807 7369 39107
1211 5527 14892
3794 9323 6683
8418 1505 61163
7787 2883 93211
1214 904 65131
5244 3785 731
6906 6885 72567
4142 2836 80124
3718 464 58898
953 263 75253
5183 4538 99650
3012 1148 89216
2608 5112 35997
8959 3664 53280
1290 2978 62259
3359 9182 97045
191 8044 13531
8633 8767 38818
3412 5539 35297
9441 8689 86493
2263 6379 16495
7892 6455 94937
1262 889 23547
3828 3713 52464
3522 4588 91282
68 2925 35956
9611 7152 21666
4788 13 55543
8861 7429 97901
9102 6426 76473
2434 2749 38316
369 5145 44305
8649 7668 83553
4717 1819 78335
4559 8884 57921
3519 7691 48593
2988 2217 78433
4975 2531 33747
7505 6289 31647
5544 8351 83963
1456 728 16788
4775 5494 18101
5099 9602 50616
6695 6533 21324
9057 1369 90582
7788 2910 43770
6165 3545 56753
6797 2320 22001
753 2233 1750
3126 647 89418
1403 6108 6563
8606 1991 91213
8981 7753 37495
7094 4917 35745
5882 4663 69723
1139 5718 96854
1959 6332 15249
6332 8587 5233
520 3175 72604
3911 8364 75671
7429 4619 32751
4097 7043 18332
8347 3406 82330
3036 2588 57197
8574 3827 76465
4413 7147 18556
3839 8548 44830
2949 9646 28363
154 1987 40650
1808 8692 99612
8627 4354 18151
7532 9037 72216
2593 7121 1505
2891 3364 74014
1514 6743 30437
1147 3017 8366
9312 132 56114
421 531 54614
2364 6453 85694
4421 2085 88380
8874 3193 27275
2441 5391 3595
5076 5315 51276
7789 4536 85475
8403 7040 84530
8165 6778 17531
4866 7771 3387
6651 6414 82170
3284 429 81820
6603 2408 81654
1369 3307 31053
8124 8165 14955
9836 1962 25621
4033 8324 87680
2144 3509 32631
2630 5499 3123
5997 9602 98170
3682 5907 30657
8387 1388 27436
2859 4535 80919
6054 1661 98797
9143 4336 74153
8526 2665 66431
578 4441 13947
2809 8340 98529
2000 2156 29930
106 8817 46616
8821 8943 80311
2177 7212 23903
1059 3038 29399
6507 518 98221
4803 1770 13433
7821 7825 69510
7494 4082 10935
6684 2237 62308
5965 5119 87712
7216 8593 14854
8343 5173 15044
1865 4748 84504
2346 408 21376
8866 2094 24389
5045 4477 57804
6245 9250 3482
8293 1650 42019
1566 4607 53116
8006 8048 45906
7523 4590 28396
9228 6895 69828
8227 7821 6745
5265 5881 42924
7791 501 83462
4240 3555 75315
8726 1080 5597
4851 1529 80516
2868 8031 27347
2170 4377 50294
3037 8754 13821
8300 2178 32185
7845 6056 46995
9410 1565 10884
9299 4864 66755
3009 588 11646
2839 1457 76696
647 8738 15594
4057 1406 65740
8330 6242 63128
2995 94 30347
4845 1899 14185
7121 2538 63849
2515 1683 48546
7959 9879 16807
5912 7060 41652
5139 5911 29312
2589 4932 88746
5460 5274 55866
516 8312 96532
2058 4345 18795
1036 4683 23827
8015 5013 57001
1711 7402 40166
6277 8429 72086
457 5107 88339
1234 3775 28235
1835 1807 18649
2937 9568 22852
2960 3517 68341
4858 2670 9675
9038 2480 69522
2700 8933 97416
3617 6667 98294
7416 2672 60105
436 43 16298
4361 5426 85517
304 4645 25482
7523 8820 87127
4409 2528 76845
5521 7137 60657
2247 9317 86838
2050 5664 19230
7858 5286 58171
8198 5601 27332
2689 6077 9589
9940 1019 74040
