800 10200
370 398 85
321 83 36
15 173 38
711 483 21
605 160 93
322 634 40
245 694 20
309 130 2
108 56 43
638 109 62
356 436 97
643 193 33
214 714 39
579 161 55
573 693 6
187 573 98
581 347 100
310 123 89
661 535 60
410 487 82
443 38 2
80 120 16
22 81 21
723 613 56
361 634 96
124 296 77
94 201 74
781 528 13
567 472 74
508 268 55
188 221 81
226 118 34
385 87 69
228 126 16
792 156 2
768 792 75
663 386 84
795 359 86
617 12 9
394 299 100
154 727 43
255 41 21
767 260 36
662 537 2
388 487 16
640 53 66
633 593 83
591 575 69
126 507 76
322 275 40
142 531 66
274 399 1
650 139 9
509 703 80
486 479 39
658 461 31
633 743 4
382 41 19
800 349 99
23 724 47
659 144 10
422 50 9
332 522 88
473 432 61
116 158 57
712 595 89
656 501 86
583 68 91
523 346 30
109 664 46
101 195 20
452 35 32
508 290 99
402 511 89
473 141 42
710 409 44
157 202 12
646 348 31
397 639 59
568 257 29
347 376 4
527 407 3
790 633 99
151 686 37
20 613 79
68 554 98
136 375 49
7 348 33
99 434 5
722 674 51
791 61 99
226 634 86
270 537 91
576 467 88
346 261 26
570 330 53
768 622 100
655 120 87
453 699 15
316 699 66
407 25 88
166 744 16
63 99 11
328 17 19
709 598 33
95 530 91
356 212 8
372 642 90
143 150 51
424 23 26
483 87 94
518 602 62
142 285 77
420 557 95
127 682 45
347 729 53
560 708 19
777 316 76
49 257 96
580 242 37
726 662 12
706 611 98
482 65 30
134 652 61
565 469 31
716 370 35
787 230 3
664 483 94
566 373 25
347 718 50
161 486 94
489 376 81
739 340 30
694 533 60
513 146 13
386 172 43
798 466 87
171 425 94
494 752 78
416 534 7
389 35 33
686 258 74
547 232 37
650 272 61
351 299 91
703 771 6
563 438 2
122 744 49
584 222 42
563 4 24
290 651 32
318 351 68
303 72 55
114 593 51
363 235 58
249 395 71
567 422 15
56 583 12
699 463 84
480 724 25
568 492 88
406 220 43
722 194 1
768 408 55
701 767 56
657 758 90
455 358 8
85 233 62
102 282 43
127 177 74
67 302 61
147 492 93
710 12 19
15 220 71
67 451 79
223 25 45
356 566 41
96 282 59
728 770 30
532 736 91
252 112 43
39 739 29
200 603 21
288 512 79
253 546 90
235 738 93
76 690 99
518 304 69
650 493 72
202 119 92
306 159 36
764 505 94
27 514 86
180 309 11
379 143 2
300 23 98
219 583 88
525 227 89
220 258 74
566 62 53
586 56 62
525 509 68
32 525 47
266 625 80
538 481 55
258 337 98
34 664 85
369 234 39
116 615 22
554 388 6
692 352 53
451 535 83
787 30 32
347 493 86
381 628 45
207 185 4
550 338 41
317 245 85
743 280 77
449 752 21
344 13 66
649 73 24
515 149 29
593 297 21
78 443 49
560 763 65
587 526 14
194 380 9
92 234 43
661 321 40
164 740 5
370 8 6
176 20 55
46 707 38
613 776 41
305 226 56
715 741 18
453 736 18
601 192 66
483 400 1
162 446 50
762 680 38
768 7 49
448 45 83
31 210 59
733 417 50
104 565 90
600 351 86
752 438 36
642 614 36
393 195 13
3 180 50
456 735 67
619 553 95
504 253 34
158 322 75
512 550 62
700 707 33
564 76 88
464 260 65
62 15 89
791 569 7
322 210 82
181 349 22
526 207 94
138 456 83
253 436 6
667 526 18
297 556 41
247 663 84
518 570 91
367 83 18
558 385 66
350 715 8
322 713 100
449 148 18
643 22 83
144 618 50
604 207 3
332 347 69
273 141 48
269 310 17
6 392 38
267 372 35
18 126 91
394 646 64
709 4 14
618 705 5
695 562 21
207 487 88
530 617 80
141 311 35
546 552 3
568 56 16
731 271 59
203 65 86
650 18 35
662 267 78
640 129 93
204 506 26
156 438 39
461 233 49
88 416 35
593 693 64
183 656 3
150 108 31
76 514 3
299 535 15
77 781 77
98 89 13
458 480 61
440 359 11
190 97 37
653 368 51
71 491 76
412 767 98
149 248 82
175 631 75
792 379 43
719 389 51
429 171 62
365 296 70
166 209 90
241 317 81
409 149 12
674 687 98
11 581 2
566 254 94
573 166 96
732 110 37
407 352 18
552 786 77
436 36 74
414 250 56
270 480 18
34 283 36
683 518 24
447 637 52
647 633 92
53 234 45
386 346 87
551 85 32
236 177 26
453 584 11
400 254 20
151 337 51
607 417 40
234 719 44
254 104 77
63 153 27
593 313 80
50 783 14
256 296 85
13 10 99
299 251 76
192 2 79
660 42 74
366 647 8
251 764 8
497 367 32
65 628 95
161 629 36
433 603 52
2 553 40
783 521 55
328 57 89
191 278 30
653 254 48
376 480 42
695 9 77
617 316 78
707 15 48
428 450 92
245 178 63
458 243 60
356 561 24
559 77 54
544 498 100
591 306 10
391 622 93
375 309 58
296 413 12
536 550 48
54 611 3
529 735 93
497 667 77
60 79 78
465 674 18
443 711 97
627 262 17
163 258 98
456 655 23
777 377 35
187 494 66
300 775 53
643 101 6
322 506 8
650 246 95
7 315 25
668 464 31
226 702 82
595 439 26
346 493 74
770 338 60
121 305 10
799 570 54
798 258 35
342 1 80
392 785 17
235 160 53
449 211 73
143 357 59
41 592 58
710 732 77
708 300 37
248 509 55
773 20 32
150 406 21
604 141 79
686 249 58
157 153 99
594 648 83
179 490 7
741 191 15
196 332 70
327 674 25
710 45 81
482 424 41
353 367 87
341 711 22
710 17 75
384 162 92
688 154 81
721 368 1
761 647 65
334 269 81
192 534 63
291 454 51
505 563 46
621 1 36
661 450 76
327 522 87
722 205 14
340 324 55
773 464 61
590 431 59
166 131 36
782 246 96
669 167 47
124 156 18
619 371 16
473 72 96
155 672 76
586 621 66
649 340 12
391 126 72
467 11 88
643 369 33
382 460 16
446 178 85
108 298 34
681 364 3
156 313 84
697 723 46
98 83 83
656 20 44
584 746 27
7 288 47
356 432 80
223 693 44
91 741 88
553 399 38
757 320 62
52 367 30
67 353 27
87 618 3
717 85 32
799 213 38
160 363 59
730 495 38
439 182 57
260 750 44
105 547 71
17 558 51
211 413 96
571 758 26
519 510 56
526 236 71
372 536 22
113 220 35
471 644 19
87 196 54
737 554 65
39 259 29
682 81 77
136 291 97
726 137 41
368 675 1
294 438 29
622 137 95
770 287 100
661 488 36
357 600 86
427 621 46
360 268 48
403 271 78
19 45 11
87 440 57
448 544 89
473 110 18
146 452 41
379 614 62
758 451 30
108 107 72
407 220 58
726 395 91
295 271 28
101 322 8
748 266 19
602 202 87
713 658 87
16 162 22
718 213 21
366 509 13
642 623 70
526 398 8
591 443 5
748 562 33
334 220 86
465 766 79
435 492 41
418 554 84
508 708 11
484 573 72
661 780 38
434 538 86
495 132 44
162 779 91
194 691 23
788 780 92
191 528 82
284 443 32
314 79 43
209 413 38
87 237 23
630 756 72
276 350 25
72 31 81
247 406 75
457 273 55
568 438 41
108 279 60
433 698 79
609 99 18
581 288 94
706 285 88
654 730 87
30 396 20
683 214 28
196 513 62
553 685 90
404 548 19
304 203 53
163 162 50
80 222 90
12 342 45
685 321 70
127 311 76
393 266 84
547 514 94
80 371 70
686 584 53
40 677 19
41 250 11
762 746 79
605 52 56
59 468 78
514 167 86
544 234 66
296 203 55
353 691 65
614 388 3
76 581 70
515 659 14
333 366 83
738 607 3
507 228 86
243 613 25
133 490 67
375 125 77
638 643 98
627 494 73
327 699 41
472 597 23
28 51 88
561 433 37
449 653 35
686 530 68
300 440 77
368 34 35
246 94 75
566 788 42
766 523 56
550 459 70
253 191 62
543 493 75
529 568 15
734 521 20
771 633 49
654 198 42
91 575 35
405 14 79
583 228 74
284 697 93
359 52 23
415 798 58
27 592 82
21 343 94
624 1 22
321 499 4
72 767 70
249 130 80
393 417 99
662 540 57
168 70 43
221 434 21
727 708 67
237 344 98
524 113 28
649 305 60
659 560 55
775 541 79
310 734 94
185 545 35
458 605 53
123 758 33
606 639 9
158 531 8
479 502 94
596 222 28
686 635 47
444 176 6
134 381 79
143 712 57
520 363 91
620 82 87
489 421 3
800 56 43
797 63 48
345 458 34
773 599 13
365 393 67
438 729 64
645 794 28
523 16 16
367 712 54
365 591 21
195 249 44
641 607 36
373 246 44
339 139 89
93 340 18
353 650 33
611 551 13
233 172 71
14 73 82
119 552 33
557 295 41
777 612 75
742 365 23
293 550 49
95 114 74
381 762 85
139 421 80
576 484 10
215 697 15
164 616 6
532 239 79
530 695 26
455 354 57
562 796 49
527 472 83
568 391 67
565 71 20
687 312 26
506 197 57
100 656 40
541 308 64
661 404 78
363 140 13
155 355 81
428 299 99
532 570 96
554 122 28
341 196 74
100 225 4
48 679 60
404 589 41
226 460 93
29 576 35
640 270 4
312 601 15
769 550 74
192 421 13
782 374 82
731 582 95
457 628 1
172 770 27
60 665 70
566 270 88
387 618 8
115 539 52
155 293 17
181 673 41
139 367 56
91 363 38
787 317 75
600 419 52
52 481 59
608 670 92
544 471 47
340 714 7
131 688 29
15 599 35
402 158 63
145 515 16
114 160 66
523 586 64
522 527 48
235 780 10
77 393 80
73 800 69
610 286 13
51 377 92
501 152 83
342 88 85
323 272 42
77 338 99
258 782 75
462 482 100
174 32 52
434 497 99
443 798 90
228 548 53
694 636 9
621 422 5
638 497 69
191 535 17
323 455 43
672 340 51
604 324 90
88 73 29
271 183 78
606 244 73
187 486 81
192 794 85
394 631 21
113 335 85
789 29 89
470 481 57
791 293 80
627 742 56
278 736 2
275 391 9
495 562 21
759 300 54
65 444 11
1 105 11
699 646 13
544 489 49
425 113 80
317 697 70
508 60 86
518 375 38
698 116 51
378 123 75
677 416 16
470 198 6
143 429 4
63 202 30
670 406 42
81 537 28
379 696 15
523 577 45
681 426 44
430 291 42
743 541 41
488 702 50
170 746 95
59 288 95
788 39 1
447 568 75
106 461 84
44 383 36
484 506 22
199 391 56
400 676 23
366 195 16
263 577 14
486 55 55
755 756 95
36 32 65
352 25 51
346 518 61
546 692 72
323 128 35
167 342 46
274 519 50
158 400 21
472 800 49
776 701 16
628 420 39
349 11 25
479 17 85
672 489 38
375 181 76
583 374 64
11 441 95
261 521 31
744 172 45
123 284 46
35 370 59
125 190 99
359 396 31
584 24 57
33 104 65
68 159 80
105 491 95
470 571 76
275 93 42
41 503 74
726 181 56
477 393 25
92 518 43
208 323 17
330 106 55
106 571 52
210 621 43
152 246 49
16 320 20
375 479 8
431 466 12
165 63 85
229 307 78
701 674 66
660 729 77
674 571 38
7 684 64
212 142 19
257 566 37
784 505 67
99 234 4
40 200 31
635 499 33
325 280 35
116 221 4
697 139 11
283 744 25
393 557 6
720 236 91
505 741 6
77 583 57
570 31 7
58 782 56
625 729 96
50 402 10
714 76 46
431 722 79
92 797 62
636 289 53
