9000 100000
248 6678 9074
7566 3640 5097
7799 6759 5817
784 8279 5078
5568 5280 8251
777 4234 7776
4168 4577 2540
7100 614 2164
8169 4371 4601
6364 7248 3585
652 8806 9946
2622 3441 7956
3176 4060 4634
5532 932 6661
7659 214 3811
1947 8238 930
1314 4982 238
2295 7349 2810
1764 6549 2137
7678 29 2908
7987 5766 6793
99 2399 7026
5182 8762 707
6180 8531 1128
3129 1142 4022
4079 8184 1170
6006 4242 5899
904 8930 7262
2769 5972 9440
6102 5131 8917
5342 7725 1554
6983 2421 5256
1430 8082 409
5793 959 8840
5619 1797 1032
7851 5495 2567
3567 4173 7397
6859 2879 3198
6404 4636 7047
3962 2755 8063
7008 8360 6910
3605 4402 9820
4207 1789 6167
7918 2746 7336
4302 9 6704
3011 6442 4541
1870 6760 6073
8965 8035 6525
2734 1945 3181
4059 5447 6109
596 5672 751
1760 2044 5742
1293 1630 5592
3779 3331 7487
8186 727 8944
1950 452 2768
5510 5778 795
2905 1101 2648
5718 4742 8406
1856 3179 9994
2937 8963 2307
8170 5984 3156
2345 392 1393
1468 5190 9320
6096 8508 3600
3726 8899 4270
31 8310 9988
780 1294 1674
5819 2048 1000
5016 5969 651
7568 5546 7942
4375 8544 1028
2387 8644 8179
3153 937 2270
2395 4038 1472
8581 7372 2974
5609 2236 6031
3884 437 5650
1680 3908 7459
4341 3736 8674
4078 2810 7036
8817 1428 1606
4364 2254 5121
152 3860 51
7498 2092 5582
2205 7706 9242
1679 2565 2385
8165 7510 4482
127 661 2896
2862 4661 2693
4542 1101 7501
8285 5925 5273
4893 1329 3709
8553 5865 4369
8163 8813 9254
6639 2488 8371
39 8092 8615
6733 891 2379
8939 6529 3980
324 8438 256
658 458 1747
7687 6951 325
4925 6785 3769
217 3693 1699
5779 917 5641
7159 7779 8374
6615 346 8949
3618 1702 998
3167 21 5142
1912 2156 6502
6379 7290 6673
2459 6790 7106
675 57 4667
8458 2366 6709
5204 2222 3903
487 6652 9225
8484 241 2285
2753 6390 6004
8035 2342 6806
8355 6479 4271
2445 3422 261
3573 5226 7928
6167 6397 7153
8145 2839 2810
4662 5069 832
4305 5966 4540
3982 1036 8302
2056 3233 4968
2305 5146 8255
7879 5079 7933
1943 8326 785
7409 8158 4472
846 1441 502
8657 1153 2414
3554 8659 5840
8378 7395 8013
2255 869 6526
1015 7339 8404
5908 6976 4583
4701 5049 7536
5882 5788 8709
1846 5607 153
7438 7363 6820
887 8707 5260
3331 7415 1323
5108 7460 779
2956 1993 4682
4227 7125 1186
297 8516 4740
5511 4998 8972
5288 1481 8239
8407 5609 9126
3895 6517 8299
22 4604 6609
223 7952 6048
8156 7362 7854
843 4416 9164
3309 1639 245
7081 4918 8939
1456 5355 9783
1976 6327 3303
995 1527 9350
1516 6110 4337
7373 983 9538
430 6551 6369
6180 135 4469
6487 1592 1004
2793 4777 609
751 1548 8948
4289 4718 3384
6544 6768 6869
5070 1739 4124
3361 5001 3852
3214 3614 9401
273 2565 3706
5650 4889 7329
1720 1954 4331
8601 2439 7575
2629 7493 7056
6414 1269 8381
7812 1365 164
3616 6043 4626
7454 3454 7933
6617 6027 566
8181 3114 3361
778 5897 8129
5808 7309 9100
1980 7756 9172
7404 8496 5887
7074 4356 4413
1877 1378 3387
2454 6182 2481
796 7242 8383
5561 2916 453
2976 5871 5182
4319 1552 6958
6402 8940 7509
5578 1762 202
164 1350 572
3470 3383 6543
7515 3232 2026
8726 6206 5411
3277 7626 6319
1630 1974 1483
7628 8077 8828
1072 4426 7176
4692 4530 5157
2779 8080 2159
1410 4396 11
3065 5198 9161
998 956 6915
2799 3734 4139
8490 6052 2188
5683 6140 4166
6747 3222 1791
41 3750 2946
1776 1078 9911
935 7043 8166
377 93 4996
7931 103 187
4362 2071 1083
1609 5014 7267
4952 2168 4881
146 6232 8324
1859 7555 1511
585 7141 3306
7454 2723 5560
359 752 4652
635 6814 7488
7114 177 4462
490 4183 448
2346 6286 5511
4427 4795 6640
4301 2665 5507
1739 2702 549
4228 5017 9324
5756 5551 5348
4589 866 8293
3880 5122 7925
890 7854 9608
431 173 1979
7330 7233 3009
8783 8901 147
15 3519 6442
6669 3490 8027
8024 5209 4073
2305 1136 7542
2328 2496 4135
2510 8983 5246
3879 2145 5922
5618 78 7704
4904 2258 3382
2507 3380 111
3251 900 7143
6604 1080 4698
7500 8603 9746
3791 6106 5487
6132 3226 726
2715 5777 7581
3414 4282 3309
2935 8791 8117
5157 8068 5551
5440 5154 9176
4076 3141 6394
384 1276 8199
174 2338 1178
3144 3773 4599
7984 3012 64
824 5415 4308
8876 4998 8385
2180 1427 6936
3959 8597 9275
4409 3651 4732
2990 8440 6592
7825 7152 5278
5933 3680 5980
987 3469 2260
6968 5050 4602
7575 1740 9200
4013 4803 8487
5745 704 9364
778 3963 7076
2164 6122 6857
2099 1190 8466
6849 8776 1979
1239 4087 2442
232 867 4183
8132 2222 2827
4447 8912 5688
3160 7123 7543
4016 3738 6383
4059 6203 3616
3536 6670 2961
6377 6707 6431
7150 5807 2725
6892 2788 9830
6857 8963 8526
1089 8318 5400
4766 4574 6150
7922 7400 2597
8744 7206 6604
8333 3182 2138
7184 6375 8128
1963 5068 9193
2263 848 2829
2412 6139 6437
66 7462 2790
2776 8626 608
3502 6855 1156
2113 6167 1353
6397 1458 8079
6624 2742 7521
5600 3398 9435
3486 6546 8253
2702 7536 4598
5581 5865 1569
1179 1025 4943
261 4813 8858
3076 1088 969
2139 5009 4717
2563 5924 321
6023 7744 2991
8014 4 8668
6342 3213 8901
3550 3299 181
3864 6887 2830
6828 7558 1398
3386 7059 989
1198 1720 9317
2079 8950 139
7124 4065 4705
1643 1379 7517
580 162 4077
552 1131 7074
7829 1589 4604
2805 7363 4496
5498 363 3470
1956 171 960
3236 6830 4922
8115 6644 1015
1846 8728 6525
2605 1361 9174
6924 2467 8322
1338 7209 9173
6436 578 51
1861 8524 2299
96 641 5903
3900 661 6930
7282 6129 5244
7614 6848 6489
4081 1319 7471
3256 68 2250
1123 8814 2874
2673 5634 9134
428 7633 6679
1423 7375 2557
367 2598 3474
8105 7822 5690
1795 416 2107
735 1026 4223
5776 5476 3340
4015 5995 1957
1082 4983 7064
7994 2159 2839
7597 2517 7494
582 7076 5240
5993 5933 9532
5405 8347 7682
3728 5628 7567
8278 3319 1281
7047 1544 1210
4115 1446 4239
5593 1534 8350
3588 191 9954
3946 1662 8473
1218 3869 9555
2371 3357 2970
6422 131 4016
626 1051 2164
8250 6081 8037
6997 6911 7489
345 3663 3798
7054 6888 6666
100 7912 7105
2624 1182 8036
2948 8400 6146
4331 8792 3597
